ID,Region ID,Suburb ID,Units,Fatalities,Injuries,Date,Time,Speed Limit,Road Type ID,Curve ID,Slope ID,Surface ID,Dry,Raining,Day,Crash Type ID,Alcohol,Drugs
574,2,956,2,1,0,2012-06-01,11:30,60,14,2,4,1,1,0,1,9,0,0
883,2,1618,2,1,2,2012-01-01,11:50,100,1,3,3,1,0,0,1,10,0,0
890,3,699,2,1,7,2012-01-01,16:00,100,7,3,3,1,1,0,1,1,0,0
1023,3,1161,2,1,0,2012-01-01,16:15,100,7,3,3,1,1,0,1,1,0,0
1616,2,1377,4,1,0,2012-01-01,16:10,80,7,2,4,1,1,0,1,3,1,0
1861,3,1231,2,1,0,2012-01-01,01:30,100,14,1,3,1,1,0,0,3,1,0
1963,3,1594,2,1,0,2012-01-01,16:04,80,7,2,4,1,1,0,1,3,0,0
2771,3,773,1,1,0,2012-02-01,03:00,100,7,3,3,2,1,0,0,12,1,0
3190,2,487,2,1,2,2012-02-01,04:35,60,7,3,3,1,1,0,0,3,1,0
3204,2,720,2,1,0,2012-02-01,11:00,80,7,2,4,1,1,0,1,12,1,0
3276,2,87,2,1,0,2012-02-01,02:18,70,3,1,3,1,1,0,0,3,1,0
3304,3,1147,2,1,0,2012-02-01,12:30,50,9,3,3,1,1,0,1,6,0,0
3487,3,735,2,1,0,2012-02-01,06:50,110,7,3,3,1,1,0,0,3,0,0
3500,3,899,2,1,0,2012-02-01,09:05,60,3,3,3,1,1,0,1,10,0,0
3636,3,1446,1,1,0,2012-02-01,21:00,100,7,2,3,1,1,0,0,12,1,0
3900,2,235,2,1,0,2012-02-01,21:51,80,7,2,3,1,0,1,0,1,1,0
4053,3,423,1,1,0,2012-03-01,02:20,110,7,3,3,1,1,0,0,12,1,0
4320,3,647,2,1,1,2012-03-01,10:25,110,7,3,3,1,1,0,1,1,0,0
4444,2,319,2,1,0,2012-03-01,08:20,80,7,1,3,1,1,0,1,3,0,0
4482,2,1569,3,1,3,2012-03-01,17:20,80,7,2,3,1,1,0,1,3,0,0
4757,2,1056,2,1,0,2012-03-01,20:30,90,14,3,3,1,0,0,0,11,0,0
5050,3,476,2,1,1,2012-03-01,09:35,100,11,3,3,1,1,0,1,10,0,0
5139,3,1027,2,2,0,2012-03-01,15:00,110,7,2,3,1,1,0,1,1,0,0
5201,3,1076,2,1,1,2012-03-01,16:50,110,7,3,3,1,1,0,1,1,0,0
5313,2,427,3,1,0,2012-03-01,11:00,60,7,3,3,1,1,0,1,13,0,0
6074,2,676,2,1,0,2012-04-01,10:20,60,7,3,3,1,1,0,1,3,0,0
6284,3,1141,2,1,0,2012-04-01,13:40,50,14,3,3,1,1,0,1,6,0,1
6396,2,665,2,1,0,2012-04-01,20:15,60,3,3,3,1,1,0,0,6,1,0
6992,2,1451,2,1,0,2012-04-01,12:30,90,14,3,3,1,1,0,1,10,0,0
7061,3,638,2,1,3,2012-04-01,22:02,100,7,2,4,1,1,0,0,3,0,0
7336,3,684,2,2,0,2012-04-01,10:35,100,6,3,3,1,1,0,1,10,0,0
7396,3,772,4,1,2,2012-04-01,11:20,110,7,3,3,1,1,0,1,13,0,0
7436,2,129,3,2,0,2012-04-01,05:05,90,3,3,3,1,1,0,0,3,0,0
7538,2,435,2,1,0,2012-04-01,11:45,60,14,3,2,1,1,0,1,6,0,0
7703,3,1554,2,1,0,2012-05-01,03:55,100,7,1,3,1,1,0,0,3,1,0
7731,2,732,2,1,1,2012-05-01,08:40,80,11,1,4,1,1,0,1,1,0,0
9001,3,75,1,1,0,2012-05-01,20:30,50,7,3,3,2,1,0,0,12,1,0
9259,2,830,3,1,0,2012-05-01,11:15,60,3,3,3,1,1,0,1,3,0,1
9437,2,304,1,1,0,2012-05-01,12:00,60,3,3,3,1,NULL,NULL,1,8,0,0
9790,2,1367,4,1,0,2012-06-01,09:48,60,1,3,3,1,1,0,1,10,0,0
10013,3,329,2,1,0,2012-06-01,07:30,100,7,1,2,1,1,0,1,3,0,0
10081,3,1226,1,1,0,2012-06-01,01:00,50,7,3,3,1,1,0,0,8,1,0
10202,2,630,2,1,0,2012-06-01,17:00,100,7,3,3,1,1,0,1,9,0,0
10427,3,755,2,1,0,2012-06-01,20:40,80,7,3,4,1,1,0,0,6,0,0
11305,3,1148,3,1,0,2012-06-01,02:30,110,7,3,3,1,1,0,0,2,0,1
11858,2,663,2,1,1,2012-07-01,13:00,60,14,3,3,1,1,0,1,11,0,0
12291,3,1298,3,1,4,2012-07-01,18:15,110,7,2,3,1,0,1,0,10,0,0
12498,2,109,4,1,0,2012-07-01,14:00,80,7,3,3,1,1,0,1,3,0,0
13262,2,162,2,1,0,2012-07-01,18:00,60,14,3,3,1,0,1,0,9,0,0
13278,2,1239,2,1,0,2012-07-01,05:20,80,3,3,3,1,0,1,0,3,0,0
13740,3,856,6,1,2,2012-08-01,18:20,110,4,3,3,1,1,0,0,9,0,1
13754,3,135,2,1,1,2012-08-01,23:40,110,7,2,3,1,1,0,0,3,1,0
13783,3,899,2,1,0,2012-08-01,19:49,50,7,2,3,1,0,0,0,3,1,0
14119,3,1628,2,3,0,2012-08-01,08:15,110,7,3,NULL,1,1,0,1,1,0,0
15071,2,1586,6,2,0,2012-08-01,11:50,60,10,3,3,1,1,0,1,3,1,0
15330,3,279,1,1,1,2012-08-01,12:10,110,7,3,3,1,1,0,1,12,0,0
15625,2,1302,2,1,0,2012-09-01,10:55,60,3,3,4,1,1,0,1,6,0,0
15885,3,790,1,1,2,2012-09-01,03:15,110,7,3,3,1,1,0,0,12,0,0
15930,3,1449,2,1,0,2012-09-01,13:10,50,7,3,3,1,1,0,1,3,0,0
16387,2,1024,2,1,0,2012-09-01,16:15,80,7,3,4,1,1,0,1,3,0,0
16748,3,259,2,1,0,2012-09-01,19:46,80,14,3,3,1,1,0,0,10,0,0
16935,2,1236,2,1,0,2012-09-01,22:05,80,3,2,4,1,1,0,0,3,0,0
17126,2,1583,3,1,0,2012-09-01,17:00,100,7,3,3,1,0,1,1,1,0,0
17210,2,594,3,1,4,2012-09-01,17:30,80,7,1,4,1,1,0,1,1,0,0
18431,2,677,2,1,0,2012-10-01,09:00,50,7,3,3,1,1,0,1,3,0,0
18602,3,1188,2,2,0,2012-10-01,05:25,110,7,2,3,1,1,0,0,3,1,0
18696,2,1541,2,1,0,2012-10-01,17:25,110,3,2,3,1,1,0,1,3,0,0
18958,2,1367,2,1,0,2012-10-01,21:05,60,3,3,3,1,1,0,0,9,1,0
20037,2,956,2,1,1,2012-11-01,12:00,50,7,2,3,1,1,0,1,1,0,0
20317,2,733,2,1,1,2012-11-01,14:30,80,7,2,1,1,1,0,1,1,0,0
20364,3,1362,1,1,0,2012-11-01,05:00,110,3,2,3,1,1,0,0,12,0,0
20537,3,777,2,1,0,2012-11-01,13:50,50,7,2,4,1,1,0,1,3,0,0
20612,2,501,2,1,0,2012-11-01,14:45,90,3,3,3,1,1,0,1,6,0,0
20624,2,1488,1,1,0,2012-11-01,23:55,90,7,3,3,1,1,0,0,12,1,0
20655,3,181,2,2,0,2012-11-01,02:40,110,1,3,3,1,1,0,0,10,0,0
21064,3,1298,2,1,0,2012-12-01,05:20,110,7,3,3,1,1,0,0,1,0,0
21535,2,1055,2,1,0,2012-12-01,11:05,60,3,3,3,1,1,0,1,9,0,0
21834,3,748,2,1,0,2012-12-01,10:50,100,7,3,3,1,1,0,1,3,0,0
22050,3,1550,3,1,2,2012-12-01,14:44,100,7,1,4,1,1,0,1,1,0,0
22330,3,712,2,1,0,2012-12-01,20:00,100,7,2,3,2,1,0,1,3,1,0
22483,3,962,2,1,0,2012-12-01,13:40,110,7,1,3,1,1,0,1,3,0,0
22523,3,834,1,1,0,2012-12-01,12:30,100,7,3,3,2,1,0,1,7,0,0
22609,2,1082,2,1,4,2012-12-01,13:20,100,1,3,3,1,1,0,1,10,0,0
22643,2,1583,2,1,0,2012-12-01,11:05,80,7,3,3,1,1,0,1,9,0,0
22738,3,1147,2,1,0,2012-12-01,17:30,40,7,3,3,2,1,0,1,3,0,0
22780,2,1314,2,1,0,2012-12-01,21:25,60,10,3,3,1,1,0,0,6,1,0
23304,2,1587,4,2,1,2013-01-01,07:15,50,7,3,3,1,1,0,1,3,0,0
23330,2,1201,2,1,1,2013-05-01,15:40,50,7,2,3,1,0,1,1,3,0,0
23380,2,1221,4,1,1,2013-01-01,18:10,50,7,3,3,1,1,0,1,13,0,0
23451,2,741,2,2,0,2013-01-01,00:40,60,7,1,3,1,1,0,0,10,0,0
23866,2,120,2,1,1,2013-01-01,14:45,60,14,3,3,1,1,0,1,10,0,0
23962,3,1135,2,1,0,2013-01-01,15:15,60,7,3,4,1,1,0,1,6,0,0
23996,2,599,2,1,0,2013-01-01,22:20,60,14,1,4,1,1,0,0,3,0,0
24138,2,1133,2,1,0,2013-01-01,01:00,50,7,3,3,1,1,0,0,3,0,0
24264,3,480,2,1,0,2013-01-01,12:45,100,7,3,3,1,1,0,1,1,0,0
25008,2,1434,2,1,0,2013-02-01,07:50,60,3,3,3,1,1,0,1,6,0,0
25173,3,1404,2,1,1,2013-02-01,02:15,100,7,1,3,2,1,0,0,3,0,0
25224,3,638,2,1,1,2013-02-01,07:05,100,7,2,4,1,1,0,1,1,0,0
25333,3,1161,2,1,0,2013-02-01,17:30,80,14,2,3,1,1,0,1,10,0,0
25864,3,1207,1,1,0,2013-03-01,19:50,50,14,3,3,1,1,0,1,8,0,0
25883,3,498,2,1,0,2013-03-01,22:45,100,7,3,3,2,1,0,0,3,0,0
26005,3,318,2,1,2,2013-03-01,13:50,110,7,3,3,1,1,0,1,1,0,0
26006,2,1276,2,1,0,2013-03-01,20:30,50,14,3,3,1,1,0,0,6,0,0
26181,2,1224,2,1,0,2013-03-01,08:15,50,7,3,3,1,1,0,1,3,0,0
26257,3,1364,2,2,0,2013-03-01,10:30,100,7,3,3,2,1,0,1,3,0,0
26346,2,1004,2,1,0,2013-03-01,12:38,60,3,3,3,1,1,0,1,6,0,0
26590,3,1606,1,1,1,2013-03-01,17:10,110,7,3,3,1,1,0,1,12,0,0
26792,3,261,2,1,0,2013-03-01,12:30,80,7,2,4,1,0,1,1,1,0,0
26798,3,755,2,1,0,2013-03-01,12:35,90,7,1,4,1,0,0,1,3,0,0
26850,3,1594,2,1,0,2013-03-01,14:53,100,7,1,4,1,1,0,1,3,0,0
26921,3,106,1,1,1,2013-03-01,11:30,110,7,2,3,1,1,0,1,12,0,0
27111,3,661,2,2,1,2013-03-01,02:48,110,7,3,3,1,1,0,0,1,0,0
27146,3,1036,2,1,4,2013-03-01,23:30,100,9,3,3,2,1,0,0,3,0,0
27218,3,869,2,1,0,2013-03-01,23:45,50,7,1,4,1,1,0,0,3,0,0
27235,2,1488,3,1,0,2013-04-01,17:40,90,3,3,3,1,1,0,1,6,0,0
27494,3,815,1,1,0,2013-04-01,22:00,25,9,NULL,3,2,1,0,0,12,0,0
28181,2,602,3,1,0,2013-04-01,10:45,60,3,3,4,1,1,0,1,13,0,0
28315,3,173,2,1,0,2013-04-01,08:00,100,7,3,3,2,1,0,1,3,0,0
28563,3,899,4,1,0,2013-05-01,13:35,50,7,3,4,1,1,0,1,3,0,0
28792,3,682,2,1,1,2013-05-01,08:50,100,1,1,3,2,1,0,1,10,0,0
29143,2,89,2,1,0,2013-05-01,15:20,60,14,3,4,1,0,1,1,9,0,0
29519,2,1015,6,1,4,2013-05-01,14:01,50,9,NULL,3,1,1,0,1,6,0,0
30124,3,1208,2,1,0,2013-06-01,16:00,50,7,3,3,1,1,0,1,6,0,0
30180,3,75,2,2,0,2013-06-01,15:15,80,14,3,3,1,1,0,1,11,0,0
30315,2,109,2,1,0,2013-06-01,13:40,100,7,2,3,1,1,0,1,3,0,0
30472,2,1583,2,1,0,2013-06-01,16:35,80,7,3,3,1,1,0,1,3,0,0
30843,2,456,2,1,0,2013-06-01,15:05,60,1,3,4,1,1,0,1,13,0,0
30990,3,513,3,1,0,2013-06-01,02:00,100,7,1,1,2,0,1,0,3,0,0
31055,3,938,4,1,2,2013-06-01,19:20,50,14,3,3,1,1,0,0,3,0,0
31060,3,631,2,1,0,2013-06-01,22:48,100,7,1,2,1,1,0,0,3,0,0
31100,3,1143,2,1,1,2013-06-01,13:45,110,14,2,3,1,0,1,1,9,0,0
31145,3,689,2,2,0,2013-06-01,08:50,100,1,3,3,1,1,0,1,10,0,0
31176,3,709,3,1,1,2013-06-01,08:50,100,1,3,3,1,1,0,1,10,0,0
31671,2,808,8,1,2,2013-07-01,16:33,60,6,3,3,1,1,0,1,13,0,0
32035,2,1165,7,1,3,2013-07-01,15:05,50,7,3,3,1,1,0,1,6,0,0
32116,3,306,1,1,0,2013-07-01,21:30,25,7,3,4,1,0,1,0,7,0,0
32152,2,470,3,1,2,2013-07-01,17:45,60,6,3,3,1,1,0,0,10,0,0
32328,2,129,2,1,0,2013-07-01,07:30,90,3,3,3,1,0,0,1,3,0,0
32415,2,717,1,1,0,2013-07-01,14:30,50,3,3,4,1,1,0,1,12,0,0
32552,2,1440,2,1,0,2013-07-01,10:03,60,14,3,4,1,1,0,1,6,0,0
32553,1,3,2,1,0,2013-07-01,12:38,50,1,3,3,1,1,0,1,6,0,0
32600,3,328,3,1,0,2013-07-01,05:15,100,7,3,3,1,1,0,0,3,0,0
32728,2,546,3,1,0,2013-07-01,14:30,80,3,3,4,1,1,0,1,3,0,0
32779,2,1513,2,1,0,2013-07-01,15:45,60,1,3,3,1,1,0,1,11,0,0
33566,3,34,1,1,1,2013-08-01,02:05,110,7,3,3,2,1,0,0,12,0,0
33612,2,1267,2,1,0,2013-08-01,10:25,50,3,3,4,1,0,0,1,3,0,0
33962,3,1358,2,1,2,2013-08-01,13:41,110,1,3,2,1,1,0,1,10,0,0
34069,2,603,1,1,0,2013-08-01,15:35,80,7,2,4,1,1,0,1,12,0,0
34074,3,857,2,1,1,2013-08-01,17:06,110,7,3,3,1,1,0,1,1,0,0
34224,3,1086,2,3,0,2013-08-01,07:45,110,7,3,4,1,1,0,1,12,0,0
34242,2,153,4,1,0,2013-08-01,19:10,110,4,1,4,1,1,0,0,6,0,0
34909,3,672,2,1,1,2013-09-01,12:35,110,7,2,3,1,1,0,1,1,0,0
35333,3,1419,2,1,0,2013-09-01,11:55,80,7,2,3,1,1,0,1,12,0,0
35457,2,532,2,1,0,2013-09-01,09:30,110,4,3,4,1,1,0,1,6,0,0
35696,2,489,2,1,0,2013-10-01,16:35,60,14,3,4,1,1,0,1,11,0,0
35753,2,1053,3,1,1,2013-10-01,15:45,60,3,3,3,1,1,0,1,9,0,0
35947,3,895,2,1,0,2013-10-01,08:10,100,7,1,3,1,1,0,1,3,0,0
35997,2,853,2,1,0,2013-10-01,15:10,80,14,3,4,1,1,0,1,13,0,0
36351,2,486,2,1,0,2013-10-01,07:40,50,7,2,3,1,1,0,1,3,0,0
36582,2,109,2,1,1,2013-10-01,18:58,80,14,2,3,1,1,0,1,10,0,0
37257,3,709,2,1,2,2013-11-01,16:10,100,7,2,3,1,1,0,1,1,0,0
37261,2,252,3,1,5,2013-11-01,05:40,60,3,3,3,1,1,0,1,1,0,0
37282,2,32,2,1,0,2013-11-01,02:45,50,7,1,3,1,1,0,0,6,0,0
37694,2,717,5,1,1,2013-11-01,07:20,100,4,2,4,1,1,0,1,9,0,0
37863,3,778,2,1,0,2013-11-01,14:11,100,7,2,3,1,1,0,1,3,0,0
37986,3,570,2,1,0,2013-11-01,07:45,100,7,3,3,1,1,0,1,3,0,0
38189,3,1624,2,1,3,2013-11-01,18:00,100,1,3,3,2,1,0,1,10,0,0
38232,3,148,2,1,0,2013-11-01,17:15,100,7,2,3,2,1,0,1,3,0,0
38413,3,288,2,1,0,2013-12-01,15:50,110,7,3,3,1,1,0,1,1,0,0
38581,3,647,2,1,0,2013-12-01,06:45,110,7,2,1,1,1,0,1,3,0,0
38597,2,971,2,1,0,2013-12-01,16:15,60,7,3,4,1,1,0,1,3,0,0
38728,3,139,4,1,2,2013-12-01,02:55,50,7,3,3,1,1,0,0,3,0,0
38831,3,1382,2,1,0,2013-12-01,21:40,100,7,2,3,1,1,0,0,3,0,0
39330,2,573,2,1,2,2013-12-01,11:00,60,7,3,3,1,1,0,1,3,0,0
39362,3,748,2,1,0,2013-12-01,10:40,100,7,3,3,1,1,0,1,9,0,0
40646,3,290,2,1,2,2014-01-01,14:40,110,7,3,3,1,1,0,0,1,0,0
40677,3,893,2,1,1,2014-01-01,14:40,100,7,3,3,1,1,0,1,1,0,0
40701,2,1440,2,1,0,2014-01-01,01:00,60,1,2,4,1,1,0,0,12,0,0
40718,3,36,2,1,3,2014-01-01,17:45,100,7,1,3,2,1,0,1,3,0,0
41039,2,1603,3,1,0,2014-01-01,09:35,50,7,3,4,1,1,0,1,6,0,0
41111,2,338,2,1,0,2014-01-01,20:00,50,7,3,3,1,1,0,0,6,0,0
41239,3,1399,2,2,0,2014-01-01,11:10,110,7,3,3,1,1,0,1,1,0,0
41303,2,1257,2,1,0,2014-02-01,09:15,60,14,3,2,1,1,0,1,3,0,0
41411,3,968,2,1,0,2014-02-01,17:54,110,7,3,3,1,1,0,1,12,0,0
41623,3,1198,2,1,0,2014-02-01,18:55,90,7,3,3,1,1,0,1,3,0,0
42279,2,806,3,1,1,2014-02-01,20:40,80,7,3,3,1,1,0,0,6,0,0
42543,3,1543,2,1,0,2014-02-01,22:00,100,7,2,3,1,1,0,0,3,0,0
42599,3,1577,2,1,0,2014-03-01,02:15,100,7,2,3,1,1,0,0,3,0,0
42616,2,997,7,1,5,2014-03-01,20:51,60,14,3,3,1,1,0,0,6,0,0
42617,2,548,3,1,0,2014-03-01,19:15,100,7,2,2,1,1,0,0,3,0,0
42646,2,665,2,1,0,2014-03-01,12:55,60,3,3,3,1,1,0,1,1,0,0
42856,2,546,3,1,0,2014-03-01,11:00,60,3,3,1,1,1,0,1,3,0,0
43128,3,1196,3,1,1,2014-03-01,19:25,60,7,2,3,1,1,0,0,3,0,0
43187,3,749,1,2,4,2014-03-01,06:50,110,3,3,3,1,1,0,1,12,0,0
43193,2,516,2,1,0,2014-03-01,09:40,60,3,3,3,1,1,0,1,9,0,0
43321,2,1284,2,1,0,2014-03-01,06:10,110,3,3,3,1,1,0,0,9,0,0
43516,3,1169,1,1,0,2014-03-01,01:25,100,7,2,3,1,1,0,0,12,0,0
43706,3,1543,2,1,0,2014-03-01,06:10,100,7,1,3,1,0,0,0,3,0,0
44489,2,389,2,1,1,2014-04-01,11:46,60,10,3,3,1,1,0,1,6,0,0
44953,3,962,2,1,0,2014-04-01,11:55,110,7,3,3,1,1,0,1,9,0,0
44971,3,1365,2,2,2,2014-04-01,21:54,110,14,3,3,1,1,0,0,10,0,0
45044,3,184,2,1,1,2014-04-01,15:00,100,7,2,3,1,1,0,1,1,0,0
45305,2,444,2,1,0,2014-05-01,18:15,60,3,3,3,1,0,0,0,6,0,0
45337,2,677,2,1,0,2014-05-01,17:40,60,3,3,3,1,1,0,0,6,0,0
45428,3,199,2,1,0,2014-05-01,14:20,100,1,3,4,1,1,0,1,10,0,0
45515,2,877,2,1,1,2014-05-01,11:15,60,3,3,4,1,1,0,1,3,0,0
45813,3,1563,1,1,3,2014-05-01,16:45,110,7,3,3,1,1,0,1,12,0,0
46406,3,42,2,1,1,2014-05-01,12:35,100,7,3,4,1,1,0,1,1,0,0
46410,3,958,2,1,0,2014-05-01,22:05,80,7,2,3,1,0,0,0,3,0,0
46848,3,1473,2,1,1,2014-06-01,18:45,110,14,3,3,1,1,0,0,10,0,0
46932,2,1001,2,1,0,2014-06-01,14:04,60,14,3,3,1,1,0,1,10,0,0
47345,3,887,1,1,0,2014-06-01,13:30,100,7,2,4,2,1,0,1,12,0,0
47721,3,1559,3,2,2,2014-06-01,07:30,110,7,3,3,1,1,0,1,13,0,0
47891,3,1307,1,1,0,2014-06-01,19:30,100,7,3,4,2,1,0,0,12,0,0
48147,3,1455,3,1,1,2014-07-01,14:45,80,1,3,3,1,1,0,1,10,0,0
48191,3,962,3,1,0,2014-07-01,06:40,110,7,3,3,1,0,0,0,3,0,0
48269,2,399,3,1,0,2014-07-01,17:40,60,3,3,3,1,1,0,0,1,0,0
48470,3,1560,1,2,6,2014-07-01,10:50,110,7,3,3,1,1,0,1,12,0,0
48508,3,39,2,1,8,2014-07-01,19:20,100,7,3,2,2,1,0,0,12,0,0
48789,2,384,2,1,0,2014-07-01,20:56,50,7,2,3,1,1,0,0,3,0,0
49182,2,374,2,1,1,2014-07-01,18:20,100,7,3,3,1,0,1,0,3,0,0
49240,2,388,2,1,0,2014-07-01,08:35,60,7,3,3,1,1,0,1,6,0,0
49532,3,1606,2,1,1,2014-08-01,16:25,110,7,3,3,1,1,0,1,13,0,0
49558,3,75,2,1,1,2014-08-01,09:10,90,14,3,3,1,1,0,1,10,0,0
50009,2,1440,4,2,2,2014-08-01,13:15,60,1,3,1,1,1,0,1,9,0,0
50057,3,1009,2,1,1,2014-08-01,15:20,110,7,2,3,1,1,0,1,1,0,0
50269,3,739,2,1,2,2014-08-01,10:20,100,1,3,3,2,1,0,1,10,0,0
50485,3,482,2,2,1,2014-08-01,10:00,110,7,3,3,1,1,0,1,1,0,0
50843,3,1167,2,1,1,2014-09-01,17:30,100,7,2,3,2,1,0,1,3,0,0
50916,3,856,2,1,0,2014-09-01,08:55,100,7,3,3,1,1,0,1,12,0,0
51003,2,1410,2,1,0,2014-09-01,14:59,60,3,3,3,1,1,0,1,6,0,0
51145,3,1418,2,1,1,2014-09-01,09:25,110,7,3,3,1,1,0,1,3,0,0
51201,2,81,2,1,0,2014-09-01,15:30,60,7,2,4,1,1,0,1,3,0,0
51420,2,1266,3,1,0,2014-09-01,20:00,60,3,3,3,1,1,0,0,6,0,0
51490,3,256,1,1,0,2014-09-01,10:40,100,7,2,3,2,1,0,1,12,0,0
51507,2,1114,2,1,0,2014-09-01,12:22,60,1,3,3,1,1,0,1,6,0,0
51617,2,1618,2,1,0,2014-09-01,06:45,100,7,1,4,1,0,0,1,3,0,0
51736,3,1091,2,1,0,2014-09-01,19:00,100,7,2,3,2,1,0,0,3,0,0
51773,3,1479,2,1,0,2014-09-01,15:33,80,7,1,3,1,1,0,1,1,0,0
51930,3,790,1,1,4,2014-10-01,19:01,110,7,3,3,1,1,0,0,12,0,0
